Gene,Virulence_factor,Species
pmpI, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
cwp66, Adherence ,VFC0001)] [Clostridium difficile 630]
groEL, Adherence ,VFC0001)] [Clostridium difficile 630]
fbpA/fbp68, Adherence ,VFC0001)] [Clostridium difficile 630]
CD2831, Adherence ,VFC0001)] [Clostridium difficile 630]
CD3246, Adherence ,VFC0001)] [Clostridium difficile 630]
cwpV, Adherence ,VFC0001)] [Clostridium difficile 630]
cbpA, Adherence ,VFC0001)] [Clostridium difficile 630]
CD0873, Adherence ,VFC0001)] [Clostridium difficile 630]
spaC, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
spaB, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
spaA, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
srtA, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
DIP_RS14950, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
DIP_RS17590, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
DIP_RS19245, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
DIP_RS23695, Adherence ,VFC0001)] [Corynebacterium diphtheriae NCTC 13129]
esp, Adherence ,VFC0001)] [Enterococcus faecalis str. MMH594]
prgB/asc10, Adherence ,VFC0001)] [Enterococcus faecalis V583]
efaA, Adherence ,VFC0001)] [Enterococcus faecalis V583]
ace, Adherence ,VFC0001)] [Enterococcus faecalis V583]
EF0149, Adherence ,VFC0001)] [Enterococcus faecalis V583]
EF0485, Adherence ,VFC0001)] [Enterococcus faecalis V583]
asa1, Adherence ,VFC0001)] [Enterococcus faecalis V583]
ebpA, Adherence ,VFC0001)] [Enterococcus faecalis V583]
ebpB, Adherence ,VFC0001)] [Enterococcus faecalis V583]
ebpC, Adherence ,VFC0001)] [Enterococcus faecalis V583]
srtC, Adherence ,VFC0001)] [Enterococcus faecalis V583]
scm, Adherence ,VFC0001)] [Enterococcus faecium DO]
ecbA/fss3, Adherence ,VFC0001)] [Enterococcus faecium DO]
sgrA, Adherence ,VFC0001)] [Enterococcus faecium DO]
acm, Adherence ,VFC0001)] [Enterococcus faecium str. TX2555]
fimB, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimE, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimA, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimI, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimC, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimD, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimF, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimG, Adherence ,VFC0001)] [Escherichia coli CFT073]
fimH, Adherence ,VFC0001)] [Escherichia coli CFT073]
papI, Adherence ,VFC0001)] [Escherichia coli CFT073]
papB, Adherence ,VFC0001)] [Escherichia coli CFT073]
papA, Adherence ,VFC0001)] [Escherichia coli CFT073]
papH, Adherence ,VFC0001)] [Escherichia coli CFT073]
papC, Adherence ,VFC0001)] [Escherichia coli CFT073]
papD, Adherence ,VFC0001)] [Escherichia coli CFT073]
papJ, Adherence ,VFC0001)] [Escherichia coli CFT073]
papK, Adherence ,VFC0001)] [Escherichia coli CFT073]
papE, Adherence ,VFC0001)] [Escherichia coli CFT073]
papF, Adherence ,VFC0001)] [Escherichia coli CFT073]
papG, Adherence ,VFC0001)] [Escherichia coli CFT073]
papI, Adherence ,VFC0001)] [Escherichia coli CFT073]
papB, Adherence ,VFC0001)] [Escherichia coli CFT073]
papA, Adherence ,VFC0001)] [Escherichia coli CFT073]
papH, Adherence ,VFC0001)] [Escherichia coli CFT073]
papC, Adherence ,VFC0001)] [Escherichia coli CFT073]
papG, Adherence ,VFC0001)] [Escherichia coli CFT073]
focA, Adherence ,VFC0001)] [Escherichia coli CFT073]
focI, Adherence ,VFC0001)] [Escherichia coli CFT073]
focC, Adherence ,VFC0001)] [Escherichia coli CFT073]
focD, Adherence ,VFC0001)] [Escherichia coli CFT073]
focF, Adherence ,VFC0001)] [Escherichia coli CFT073]
focG, Adherence ,VFC0001)] [Escherichia coli CFT073]
focH, Adherence ,VFC0001)] [Escherichia coli CFT073]
papX, Adherence ,VFC0001)] [Escherichia coli CFT073]
sfaC, Adherence ,VFC0001)] [Escherichia coli CFT073]
C_RS05810, Adherence ,VFC0001)] [Escherichia coli CFT073]
sfaY, Adherence ,VFC0001)] [Escherichia coli CFT073]
sfaX, Adherence ,VFC0001)] [Escherichia coli CFT073]
cfaA, Adherence ,VFC0001)] [Escherichia coli E24377A]
cfaB, Adherence ,VFC0001)] [Escherichia coli E24377A]
cfaC, Adherence ,VFC0001)] [Escherichia coli E24377A]
cfaD/cfaE, Adherence ,VFC0001)] [Escherichia coli E24377A]
draE2, Adherence ,VFC0001)] [Escherichia coli EC7372]
bfpG, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpB, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpC, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpE, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpP, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpJ, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpL, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpA, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpU, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpD, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpF, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpH, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpI, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
bfpK, Adherence ,VFC0001)] [Escherichia coli O127:H6 str. E2348/69]
paa, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
yagY/ecpB, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
ykgK/ecpR, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
yagZ/ecpA, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
yagX/ecpC, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
yagW/ecpD, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
yagV/ecpE, Adherence ,VFC0001)] [Escherichia coli O157:H7 str. EDL933]
sfaF, Adherence ,VFC0001)] [Escherichia coli O18:K1:H7 str. IHE3034]
sfaG, Adherence ,VFC0001)] [Escherichia coli O18:K1:H7 str. IHE3034]
sfaH, Adherence ,VFC0001)] [Escherichia coli O18:K1:H7 str. IHE3034]
cgsG, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
cgsF, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
cgsE, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
cgsD, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
csgB, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
csgA, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
csgC, Adherence ,VFC0001)] [Escherichia coli O25b:H4-ST131]
aafB, Adherence ,VFC0001)] [Escherichia coli O44:H18 042]
aafC, Adherence ,VFC0001)] [Escherichia coli O44:H18 042]
aafD, Adherence ,VFC0001)] [Escherichia coli O44:H18 042]
aafA, Adherence ,VFC0001)] [Escherichia coli O44:H18 042]
fdeC, Adherence ,VFC0001)] [Escherichia coli O45:K1:H7 str. S88]
draA, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
draB, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
draC, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
draD, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
draP, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
draE, Adherence ,VFC0001)] [Escherichia coli O75:K5:H- str. IH11128]
etpA, Adherence ,VFC0001)] [Escherichia coli O78:H11:K80 str. H10407]
etpB, Adherence ,VFC0001)] [Escherichia coli O78:H11:K80 str. H10407]
sfaA, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaC, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaB, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaD, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaE, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaF, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaG, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaS, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaH, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaY, Adherence ,VFC0001)] [Escherichia coli UTI89]
sfaX, Adherence ,VFC0001)] [Escherichia coli UTI89]
pilT, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilE5, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilD, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilE4, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilE2/pilE, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilE/pilA, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilF, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilB, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilC, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilQ, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilP, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilO, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
pilN, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
fimT/pilW, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
FTT_RS04695, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
tufA, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
fsaP, Adherence ,VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]
hifA, Adherence ,VFC0001)] [Haemophilus influenzae AM30(770235)]
hifB, Adherence ,VFC0001)] [Haemophilus influenzae AM30(770235)]
hifC, Adherence ,VFC0001)] [Haemophilus influenzae AM30(770235)]
hifD, Adherence ,VFC0001)] [Haemophilus influenzae AM30(770235)]
hifE, Adherence ,VFC0001)] [Haemophilus influenzae AM30(770235)]
hap, Adherence ,VFC0001)] [Haemophilus influenzae N187]
hmw1C, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
hmw2C, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
sabA/hopP, Adherence ,VFC0001)] [Helicobacter pylori 26695]
hopZ, Adherence ,VFC0001)] [Helicobacter pylori 26695]
babA/hopS, Adherence ,VFC0001)] [Helicobacter pylori 26695]
babB/hopT, Adherence ,VFC0001)] [Helicobacter pylori 26695]
sabB/hopO, Adherence ,VFC0001)] [Helicobacter pylori 26695]
fimB, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimE, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimA, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimI, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimC, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimD, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimF, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimG, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimH, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
fimK, Adherence ,VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
htpB, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
LPG_RS03055, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilB, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilC, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilD, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
omp28, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilE/pilA, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilE/pilA, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilQ, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilP, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilO, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilN, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilM, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilE3, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilY1, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilX, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilW, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilV, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
fimT, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
LPG_RS04900, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilZ, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilF, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
pilT, Adherence ,VFC0001)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
ami, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
fbpA, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
lap, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
inlJ, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
lapB, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
inlF, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
inlP, Adherence ,VFC0001)] [Listeria monocytogenes EGD-e]
fbpD, Adherence ,VFC0001)] [Mycobacterium tuberculosis H37Rv]
p97, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
p102, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
p216, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
mhp271, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
MHP_RS00555, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
mhp107, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
mhp385, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
MHP_RS03455, Adherence ,VFC0001)] [Mycoplasma hyopneumoniae 232]
hmw2, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
orf6/p40/p90/mgpC/crmA, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
p65, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
p1/MgPa/gapA, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
hmw3, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
hmw1, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
p30/p32, Adherence ,VFC0001)] [Mycoplasma pneumoniae M129]
pilE, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilS, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilS, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilS, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilS, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilS, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilC, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilT, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilF, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilD, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilG, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilX, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilW, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilM, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilN, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilO, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilP, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilQ, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilT2, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilU, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
frpA, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
frpC, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilH, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilI, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilJ, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilK, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilV, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilZ, Adherence ,VFC0001)] [Neisseria meningitidis MC58]
pilA, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilB, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
xcpA/pilD, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilV, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilW, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilX, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilY1, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilY2, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilE, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilS, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilR, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fimT, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fimU, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilF, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilQ, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilP, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilO, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilN, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilM, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilT, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilU, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilG, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilH, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilI, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilJ, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilK, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fimV, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
chpA, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
chpB, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
chpC, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
chpD, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
chpE, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
pilZ, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
vfr, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fimL, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
rpoN, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fimX, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
crc, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
rpoS, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapA, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapB, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapC, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapD, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapE, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
fapF, Adherence ,VFC0001)] [Pseudomonas aeruginosa PAO1]
sca1, Adherence ,VFC0001)] [Rickettsia typhi str. Wilmington]
pefD, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
pefC, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
pefA, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
pefB, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
fimA, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
fimI, Adherence ,VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
